"Article"	"Len"	"BadFreqs"	"Len1"	"Len2"	"Len3"	"Len4"	"Class" 
"#перенаправление Плевроталлис "	2	0	0	0	0	0	"bad"
"#перенаправление Октомерия "	2	0	0	0	0	0	"bad"
" '''Плекоглоттис''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Азия|Азилэн но Выль Гвинея|Выль Гвинеялэн сяськаё будос . Дуннеын тодмо ог 51 пӧртэм. Видъёс # '' Plocoglottis acuminata # '' Plocoglottis angulata # '' Plocoglottis aororia # '' Plocoglottis atroviridis # '' Plocoglottis bicallosa # '' Plocoglottis bicomata # '' Plocoglottis bokorensis # '' Plocoglottis borneensis "	44	5	0	2	0	1	"bad"
"#перенаправление Плекоглоттис "	2	0	0	0	0	0	"bad"
" '''Подангис''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Африка|Африкалэн сяськаё будос . Дуннеын тодмо ог 1 пӧртэм. "	15	5	0	1	0	0	"bad"
"#перенаправление Подангис "	2	0	0	0	0	0	"bad"
" '''Подохилус''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Азия|Азилэн но Выль Гвинея|Выль Гвинеялэн сяськаё будос . Дуннеын тодмо ог 62 пӧртэм. Видъёс * '' Podochilus anguinus '' Schltr. (1922) * '' Podochilus appendiculatus '' J.J.Sm. (1900) * '' Podochilus auriculigerus '' Schltr. (1921) * '' Podochilus australiensis '' (F.M.Bailey) Schltr. (1907) * '' Podochilus banaensis '' Ormerod (2003) * '' Podochilus bancanus '' J.J.Sm. (1920) * '' Podochilus bicaudatus '' Schltr. (1906) * '' Podochilus bilabiatus '' J.J.Sm. (1920) * '' Podochilus bilobulatus '' Schltr. (1919) * '' Podochilus bimaculatus '' Schltr. (1912) * '' Podochilus cucullatus '' J.J.Sm. (1909) * '' Podochilus cultratus '' Lindl. (1833) * '' Podochilus cumingii '' Schltr. (1906) * '' Podochilus densiflorus '' Blume (1849) * '' Podochilus falcatus '' Lindl. (1833) * '' Podochilus falcipetalus '' Schltr. (1922) * '' Podochilus filiformis '' Schltr. (1912) * '' Podochilus forficuloides '' J.J.Sm. (1922) * '' Podochilus gracilis '' (Blume) Lindl. (1833) * '' Podochilus hellwigii '' Schltr. (1900) * '' Podochilus hystricinus '' Ames (1923) * '' Podochilus imitans '' Schltr. (1905) * '' Podochilus intermedius '' J.J.Sm. (1917) * '' Podochilus intricatus '' Ames (1913 publ. 1914) * '' Podochilus khasianus '' Hook.f. (1890) * '' Podochilus lamii '' J.J.Sm. (1930) * '' Podochilus lancilabris '' Schltr. (1922) * '' Podochilus lobatipetalus '' J.J.Sm. (1933) * '' Podochilus longilabris '' Ames (1912) * '' Podochilus lucescens '' Blume (1825) - '''especie tipo''' -
* '' Podochilus malabaricus '' Wight (1851) * '' Podochilus marsupialis '' Schuit. (1998) * '' Podochilus mentawaiensis '' J.J.Sm. (1932) * '' Podochilus microphyllus '' Lindl. (1833) * '' Podochilus minahassae '' Schltr. (1911) * '' Podochilus muricatus '' (Teijsm. &amp; Binn.) Schltr. (1900) * '' Podochilus obovatipetalus '' J.J.Sm. (1927) * '' Podochilus oxyphyllus '' Schltr. (1906) * '' Podochilus oxystophylloides '' Ormerod (2003) * '' Podochilus pachyrhizus '' Schltr. (1906) * '' Podochilus plumosus '' Ames (1910) * '' Podochilus polytrichoides '' Schltr. (1905) * '' Podochilus ramosii '' Ames (1913) * '' Podochilus rhombeus '' J.J.Sm. (1917) * '' Podochilus rhombipetalus '' J.J.Sm. (1917) * '' Podochilus saxatilis '' Lindl. (1833) * '' Podochilus scalpelliformis '' Blume (1849) * '' Podochilus schistantherus '' Schltr. (1911) * '' Podochilus sciuroides '' Rchb.f. (1857) * '' Podochilus serpyllifolius '' (Blume) Lindl. (1859) * '' Podochilus similis '' Blume (1849) * '' Podochilus smithianus '' Schltr. (1905) * '' Podochilus spathulatus '' J.J.Sm. (1909) * '' Podochilus steinii '' J.J.Sm. (1934) * '' Podochilus strictus '' Ames (1910) * '' Podochilus sumatranus '' Schltr. (1906) * '' Podochilus sumatrensis '' Ridl. (1912) * '' Podochilus tenuis '' (Blume) Lindl. (1833) * '' Podochilus tmesipteris '' Schltr. (1911) * '' Podochilus trichocarpus '' Schltr. (1912) * '' Podochilus truncatus '' J.J.Sm. (1926) * '' Podochilus warianus '' Schltr. (1912) "	341	5	0	2	0	1	"bad"
"#перенаправление Подохилус "	2	0	0	0	0	0	"bad"
" '''Погония''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Уйпал Америка|Америкалэн но шунды ӝужан Азия|Азилэн сяськаё будос . Дуннеын тодмо ог 7 пӧртэм. Видъёс # '' Pogonia japonica ''
# '' Pogonia kungii ''
# '' Pogonia minor ''
# '' Pogonia ophioglossoides ''
# '' Pogonia parvula ''
# '' Pogonia trinervia ''
# '' Pogonia yunnanensis '' "	42	6	0	2	0	0	"bad"
"#перенаправление Погония "	2	0	0	0	0	0	"bad"
" '''Погониопсис''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Бразилия|Бразилилэн сяськаё будос . Дуннеын тодмо ог 2 пӧртэм. Видъёс # '' Pogoniopsis nidus-avis '' Rchb.f., Otia Bot. Hamburg.: 82 (1881).
# '' Pogoniopsis schenkii '' Cogn., Fl. Bras. 3(4): 136 (1893). "	34	5	0	1	0	0	"bad"
"#перенаправление Погониопсис "	2	0	0	0	0	0	"bad"
" '''Полицикнис''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Америка|Америкалэн (Панама, Коста-Рика, Колумбия, Гайана но Перу) сяськаё будос . Дуннеын тодмо ог 17 пӧртэм. Видъёс # '' Polycycnis acutiloba '' Schltr. (1924) # '' Polycycnis annectans '' Dressler (1977) # '' Polycycnis aurita '' Dressler (1977) # '' Polycycnis barbata '' (Lindl.) Rchb.f. (1855) # '' Polycycnis blancoi '' G. Gerlach (2004) # '' Polycycnis escobariana '' G. Gerlach (2001) # '' Polycycnis gratiosa '' Endres &amp; Rchb.f. (1871) # '' Polycycnis grayi '' Dodson (2003) # '' Polycycnis lehmannii '' Rolfe (1894) # '' Polycycnis lepida '' Rchb.f. (1869) # '' Polycycnis muscifera '' (Lindl. &amp; Paxton) Rchb.f. (1855) # '' Polycycnis pfisteri '' Senghas, Tagges &amp; G. Gerlach (1999) # '' Polycycnis silvana '' F. Barros (1983) # '' Polycycnis surinamensis '' C. Schweinf. (1948) # '' Polycycnis tortuosa '' Dressler (1977) # '' Polycycnis trullifera '' D.E. Benn. &amp; Christenson (1994) # '' Polycycnis villegasiana '' G. Gerlach (2001) "	125	6	0	2	0	1	"bad"
"#перенаправление Полицикнис "	2	0	0	0	0	0	"bad"
" '''Полистахия''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Африка|Африкалэн , Азия|Азилэн но Америка|Америкалэн сяськаё будос . Дуннеын тодмо ог 100 пӧртэм. Видъёс * '' Polystachya bicalcarata ''
* '' Polystachya concreta ''
* '' Polystachya cooperi ''
* '' Polystachya cultriformis ''
* '' Polystachya farinosa ''
* '' Polystachya geniculata ''
* '' Polystachya kupensis ''
* '' Polystachya laxiflora ''
* '' Polystachya longiscapa '' * '' Polystachya maculata ''
* '' Polystachya oligophylla ''
* '' Polystachya puberula ''
* '' Polystachya rivae ''
* '' Polystachya subdiphylla ''
* '' Polystachya superposita ''
* '' Polystachya victoriae '' "	67	5	0	2	0	0	"bad"
" '''Понерорхис''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Азия|Азилэн сяськаё будос . Дуннеын тодмо ог 18 пӧртэм. Видъёс # '' Ponerorchis brevicalcarata '' (Finet) Soó, Acta Bot. Acad. Sci. Hung. 12: 353 (1966). # '' Ponerorchis chidorii '' (Makino) Ohwi, Acta Phytotax. Geobot. 5: 145 (1936). # '' Ponerorchis chrysea '' (W.W.Sm.) Soó, Acta Bot. Acad. Sci. Hung. 12: 353 (1966). # '' Ponerorchis chusua '' (D.Don) Soó, Acta Bot. Acad. Sci. Hung. 12: 352 (1966). # '' Ponerorchis crenulata '' Soó, Acta Bot. Acad. Sci. Hung. 12: 353 (1966). # '' Ponerorchis curtipes '' (Ohwi) J.M.H.Shaw, Orchid Rev. 111(1253): 78 (2003). # '' Ponerorchis graminifolia '' Rchb.f., Linnaea 25: 228 (1852). # '' Ponerorchis hemipilioides '' (Finet) Soó, Acta Bot. Acad. Sci. Hung. 12: 353 (1966). # '' Ponerorchis hui '' (Tang &amp; F.T.Wang) Soó, Acta Bot. Acad. Sci. Hung. 12: 353 (1966). # '' Ponerorchis joo-iokiana '' (Makino) Soó, Acta Bot. Acad. Sci. Hung. 12: 352 (1966). # '' Ponerorchis kiraishiensis '' (Hayata) Ohwi, Acta Phytotax. Geobot. 5: 146 (1936). # '' Ponerorchis kurokamiana '' (Hatus. &amp; Ohwi) J.M.H.Shaw, Orchid Rev. 111: 78 (2003). # '' Ponerorchis limprichtii '' (Schltr.) Soó, Acta Bot. Acad. Sci. Hung. 12: 353 (1966). # '' Ponerorchis nana '' (King &amp; Pantl.) Soó, Acta Bot. Acad. Sci. Hung. 12: 353 (1966). # '' Ponerorchis puberula '' (King &amp; Pantl.) Verm., Jahresber. Naturwiss. Vereins Wuppertal 25: 30 (1972). # '' Ponerorchis renzii '' Deva &amp; H.B.Naithani, Orchid Fl. N.W. Himalaya: 199 (1986). # '' Ponerorchis taiwanensis '' (Fukuy.) Ohwi, Acta Phytotax. Geobot. 5: 146 (1936). # '' Ponerorchis takasago-montana '' (Masam.) Ohwi, Acta Phytotax. Geobot. 5: 146 (1936). "	236	5	0	1	0	0	"bad"
"#перенаправление Понерорхис "	2	0	0	0	0	0	"bad"
" '''Понтиева''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Америка|Америкалэн сяськаё будос . Дуннеын тодмо ог 84 пӧртэм. Видъёс # '' Ponthieva andicola '' Rchb.f. (1876) (Эквадор)
# '' Ponthieva appendiculata '' Schltr. (1915) (Эквадор)
# '' Ponthieva bicornuta '' C.Schweinf. (1951) (Перу)
# '' Ponthieva brenesii '' Schltr. (1923) (Коста-Рика, Панама)
# '' Ponthieva brittoniae '' Ames (1910) (Florida, Bahamas, Куба)
# '' Ponthieva campestris '' (Liebm.) Garay (1995) (Мексика)
# '' Ponthieva collantesii '' D.E.Benn. &amp; Christenson (1998) (Перу)
# '' Ponthieva cornuta '' Rchb.f. (1876) (Боливия)
# '' Ponthieva curvilabia '' Garay (1978) (Эквадор)
# '' Ponthieva cuyujana '' Dodson &amp; Hirtz (1989) (Эквадор)
# '' Ponthieva diptera '' Linden &amp; Rchb.f. (1854) (Куба, Гаити, Ямайка, Гайана, Венесуэла, Колумбия, Эквадор, Перу)
# '' Ponthieva disema '' Schltr. (1915) (Эквадор)
# '' Ponthieva dunstervillei '' Foldats (1968) (Венесуэла)
# '' Ponthieva ekmanii '' Mansf. (1929) (Гаити)
# '' Ponthieva elegans '' (Kraenzl.) Schltr. (1912) (Боливия)
# '' Ponthieva ephippium '' Rchb.f. (1857) (Мексика, Гватемала)
# '' Ponthieva formosa '' Schltr. (1923) (Мексика, Шор Америка)
# '' Ponthieva garayana '' Dodson &amp; R.Vásquez (1989) (Боливия)
# '' Ponthieva gimana '' Dodson (2003) (Эквадор)
# '' Ponthieva gracilis '' Renz (1948) (Колумбия)
# '' Ponthieva Гаитиensis '' Mansf. (1926) (Гаити)
# '' Ponthieva hameri '' Dressler (1998) (El Salvador)
# '' Ponthieva hassleri '' Schltr. (1920) (Paraguay)
# '' Ponthieva hildae '' R.González &amp; Soltero (1991) (Мексика)
# '' Ponthieva inaudita '' Rchb.f. (1876) (Колумбия, Эквадор, Перу)
# '' Ponthieva insularis '' Dressler (2005) (Galapagos Islands)
# '' Ponthieva keraia '' Garay &amp; Dunst. (1976) (Венесуэла, Эквадор)
# '' Ponthieva lilacina '' C.Schweinf., (1941) (Перу)
# '' Ponthieva maculata '' Lindl. (1845) (Венесуэла, Эквадор)
# '' Ponthieva mandonii '' Rchb.f. (1878) (Перу to NW Argentina)
# '' Ponthieva microglossa '' Schltr. (1920) (Колумбия)
# '' Ponthieva nigricans '' Schltr. (1917) (Эквадор)
# '' Ponthieva oligoneura '' Schltr. (1921) (Перу)
# '' Ponthieva ovatilabia '' C.Schweinf. (1961) (Венесуэла, Гайана)
# '' Ponthieva parvilabris '' (Lindl.) Rchb.f. (1878) (Венесуэла, Эквадор)
# '' Ponthieva parvula '' Schltr. (1912) (Мексика, Гватемала)
# '' Ponthieva pauciflora '' (Sw.) Fawc. &amp; Rendle (1910) (Caribbean)
# '' Ponthieva petiolata '' Lindl., Bot. Reg. 9: t. 760 (1824) (Lesser Antiles)
# '' Ponthieva phaenoleuca '' (Barb.Rodr.) Cogn. in C.F.P.von Martius &amp; auct. suc. (eds.) (1895) (Бразилия)
# '' Ponthieva pilosissima '' (Senghas) Dodson (1996) : Hairy Ponthieva (Эквадор)
# '' Ponthieva poitaei '' Rchb.f. ex Nir (2000) (Dominican Republic)
# '' Ponthieva pseudoracemosa '' Garay (1978) (Эквадор, Перу)
# '' Ponthieva pubescens '' (C.Presl) C.Schweinf. (1970) (Эквадор, Перу, Бразилия)
# '' Ponthieva pulchella '' Schltr. (1918) (Мексика, Гватемала)
# '' Ponthieva racemosa '' (Walter) C.Mohr (SE USA, Мексика, tropical America)
# '' Ponthieva rinconii '' Salazar (2005) (Мексика)
# '' Ponthieva rostrata '' Lindl. (1845) (Эквадор, Перу)
# '' Ponthieva schaffneri '' (Rchb.f.) E.W.Greenw. (1990) (Мексика, Гватемала)
# '' Ponthieva similis '' C.Schweinf. (1941) (Колумбия, Эквадор, Перу)
# '' Ponthieva sprucei '' Cogn. in C.F.P.von Martius &amp; auct. suc. (eds.) (1895) (Перу)
# '' Ponthieva sylvicola '' Rchb.f. (1876) (Эквадор)
# '' Ponthieva triloba '' Schltr. (1910) (Мексика, El Salvador)
# '' Ponthieva trilobata '' (L.O.Williams) L.O.Williams (1972) (Мексика, Гватемала)
# '' Ponthieva tuerckheimii '' Schltr. (1906) (Мексика, Гватемала, Коста-Рика, Панама)
# '' Ponthieva tunguraguae '' Garay (1978) (Эквадор)
# '' Ponthieva unguiculata '' Ames &amp; C.Schweinf. (1925) (Боливия)
# '' Ponthieva vasquezii '' Dodson (1989) (Боливия)
# '' Ponthieva ventricosa '' (Griseb.) Fawc. &amp; Rendle (1910) (Caribbean)
# '' Ponthieva venusta '' Schltr. (1921) (Эквадор, Перу)
# '' Ponthieva villosa '' Lindl. in G.Bentham (1845) (Эквадор, Перу)
# '' Ponthieva viridilimbata '' Dressler (2005) (Эквадор)
# '' Ponthieva weberbaueri '' Schltr. (1921) (Перу) "	488	35	0	1	1	17	"bad"
"#перенаправление Понтиева "	2	0	0	0	0	0	"bad"
" '''Порроглоссум''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Лымшор Америка|Америкалэн (Венесуэла, Колумбия, Боливия но Перу) сяськаё будос . Дуннеын тодмо ог 28 яке 41 пӧртэм. Видъёс * '' Porroglossum actrix '' Luer &amp; R.Escobar, 1991.
* '' Porroglossum agile '' Luer, 1980.
* '' Porroglossum amethystinum '' (Rchb.f.) Garay,1967.
* '' Porroglossum andreettae '' Luer, 1980.
* '' Porroglossum aureum '' Luer, Phytologia 46: 376 (1980.
* '' Porroglossum condylosepalum '' 1975.
* '' Porroglossum dactylum '' Luer, 1988.
* '' Porroglossum dalstroemii '' Luer,1987.
* '' Porroglossum dreisei '' Luer &amp; Andreetta,1991.
* '' Porroglossum echidna '' (Rchb.f.) Garay, 1953.
* '' Porroglossum eduardii '' (Rchb.f.) H.R.Sweet, 1972.
* '' Porroglossum hirtzii '' Luer, 1987.
* '' Porroglossum hoeijeri '' Luer, 1985.
* '' Porroglossum hystrix '' Luer, 1988.
* '' Porroglossum jesupiae '' Luer, 1989.
* '' Porroglossum josei '' Luer, 1995.
* '' Porroglossum lorenae '' Luer, 2004.
* '' Porroglossum lycinum '' Luer, 1980.
* '' Porroglossum marniae '' Luer, 2006.
* '' Porroglossum meridionale '' P.Ortiz, 1976 publ. 1977.
* '' Porroglossum mordax '' (Rchb.f.) H.R.Sweet, 1970.
* '' Porroglossum muscosum '' (Rchb.f.) Schltr., 1920.
* '' Porroglossum nutibara '' Luer &amp; R.Escobar, 1987.
* '' Porroglossum olivaceum '' H.R.Sweet, 1970.
* '' Porroglossum parsonsii '' Luer, 2006.
* '' Porroglossum peruvianum '' H.R.Sweet, 1973.
* '' Porroglossum portillae '' Luer &amp; Andreetta, 1980.
* '' Porroglossum procul '' Luer &amp; R.Vásquez, 1980.
* '' Porroglossum rodrigoi '' H.R.Sweet, 1974.
* '' Porroglossum schramii '' Luer, 1980.
* '' Porroglossum sergioi '' P.Ortiz, 1975.
* '' Porroglossum sijmii '' Luer, 2006.
* '' Porroglossum taylorianum '' Luer, 1980.
* '' Porroglossum teaguei '' Luer, 1980.
* '' Porroglossum teretilabia '' Luer &amp; Teague, 1991.
* '' Porroglossum tokachii '' Luer, 1994.
* '' Porroglossum tripollex '' Luer, 1998.
* '' Porroglossum uxorium '' Luer, 1980. "	232	7	0	2	1	1	"bad"
"#перенаправление Порроглоссум "	2	0	0	0	0	0	"bad"
" '''Прасофиллум''' ( ) – Орхидной будосъёс (Orchidaceae) семьяысь Австралия|Австралилэн но Выль Зеландия|Выль Зеландиялэн сяськаё будос . Дуннеын тодмо ог 126 пӧртэм. Видъёс * '' Prasophyllum affine '' Lindl. (1840) * '' Prasophyllum album '' R.S.Rogers, (1909) * '' Prasophyllum alpestre '' D.L.Jones, (1998) * '' Prasophyllum alpinum '' R.Br. (1810) * '' Prasophyllum amoenum '' D.L.Jones (1998) * '' Prasophyllum antennatum '' M.A.Clem. &amp; D.L.Jones (1989) * '' Prasophyllum anticum '' D.L. Jones &amp; D.T. Rouse (2006) * '' Prasophyllum apoxychilum '' D.L.Jones (1998) * '' Prasophyllum atratum '' D.L. Jones (2006) * '' Prasophyllum australe '' R.Br. (1810) * '' Prasophyllum bagoense '' D.L.Jones (2000) * '' Prasophyllum beatrix '' D.L. Jones &amp; D.T. Rouse (2006) * '' Prasophyllum brevilabre '' (Lindl.) Hook.f. (1858) * '' Prasophyllum brownii '' Rchb.f. (1871) * '' Prasophyllum buftonianum '' J.H.Willis (1953) * '' Prasophyllum calcicola '' R.J.Bates (1989) * '' Prasophyllum campestre '' R.J.Bates &amp; D.L.Jones (1991) * '' Prasophyllum canaliculatum '' D.L.Jones (1997) * '' Prasophyllum candidum '' R.J.Bates &amp; D.L.Jones (1991) * '' Prasophyllum caricetum '' D.L.Jones (2000) * '' Prasophyllum castaneum '' D.L.Jones (1998) * '' Prasophyllum catenemum '' D.L. Jones (2006) * '' Prasophyllum caudiculum '' D.L.Jones (2000) * '' Prasophyllum chasmogamum '' R.J.Bates &amp; D.L.Jones (1991) * '' Prasophyllum colensoi '' Hook.f. (1853) * '' Prasophyllum collinum '' D.L. Jones (2006) * '' Prasophyllum concinnum '' Nicholls (1948) * '' Prasophyllum constrictum '' R.S.Rogers (1909) * '' Prasophyllum correctum '' D.L.Jones, (1994) * '' Prasophyllum crebriflorum '' D.L.Jones (2003) * '' Prasophyllum cucullatum '' Rchb.f. (1871) * '' Prasophyllum cyphochilum '' Benth. (1873) * '' Prasophyllum diversiflorum '' Nicholls, (1942) * '' Prasophyllum dossenum '' R.J.Bates &amp; D.L.Jones, (1991) * '' Prasophyllum drummondii '' Rchb.f. (1871) * '' Prasophyllum elatum '' R.Br. (1810) * '' Prasophyllum erythrocommum '' D.L. Jones &amp; D.T. Rouse (2006) * '' Prasophyllum exiguum '' Rupp (1948) * '' Prasophyllum exile '' D.L.Jones &amp; R.J.Bates (1991) * '' Prasophyllum favonium '' D.L.Jones (1998) * '' Prasophyllum fecundum '' R.J.Bates (1989) * '' Prasophyllum fimbria '' Rchb.f. (1871) * '' Prasophyllum fitzgeraldii '' R.S.Rogers &amp; Maiden (1909) * '' Prasophyllum flavum '' R.Br. (1810) * '' Prasophyllum fosteri '' D.L.Jones (2000) * '' Prasophyllum frenchii '' F. Muell. (1889) * '' Prasophyllum fuscum '' R.Br. (1810) * '' Prasophyllum gibbosum '' R.Br. (1810) * '' Prasophyllum giganteum '' Lindl. (1840) * '' Prasophyllum gilgai '' D.L. Jones &amp; D.T. Rouse (2006) * '' Prasophyllum goldsackii '' J.Z.Weber &amp; R.J.Bates (1978) * '' Prasophyllum gracillimum '' Nicholls (1948) * '' Prasophyllum hectori '' (Buchanan) Molloy, D.L. Jones &amp; M.A. Clem (2005) * '' Prasophyllum helophilum '' D.L. Jones &amp; D.T. Rouse (2006) * '' Prasophyllum hians '' Rchb.f. (1871) * '' Prasophyllum hygrophilum '' D.L. Jones &amp; D.T. Rouse (2003) * '' Prasophyllum incompositum '' D.L.Jones (1991) * '' Prasophyllum incorrectum '' D.L.Jones (2003) * '' Prasophyllum incurvum '' D.L.Jones (1998) * '' Prasophyllum innubum '' D.L. Jones (2007) * '' Prasophyllum keltonii '' D.L. Jones (2007) * '' Prasophyllum lanceolatum '' R.S.Rogers (1920) * '' Prasophyllum limnetes '' D.L. Jones (2006) * '' Prasophyllum lindleyanum '' Rchb.f. (1871) * '' Prasophyllum litorale '' R.J.Bates (1990) * '' Prasophyllum maccannii '' D.L. Jones &amp; D.T. Rouse (2006) * '' Prasophyllum macrotys '' Lindl. (1840) * '' Prasophyllum milfordense '' D.L.Jones (1998) * '' Prasophyllum mimulum '' D.L.Jones (2004) * '' Prasophyllum mollissimum '' Rupp (1948) * '' Prasophyllum montanum '' R.J.Bates &amp; D.L.Jones (1991) * '' Prasophyllum morganii '' Nicholls (1930) * '' Prasophyllum mucronatum '' Rupp (1948) * '' Prasophyllum murfetii '' D.L.Jones, (2000) * '' Prasophyllum nichollsianum '' Rupp (1942) * '' Prasophyllum niphopedium '' D.L.Jones (2000) * '' Prasophyllum nublingii '' R.S.Rogers (1927) * '' Prasophyllum obovatum '' Rupp (1948) * '' Prasophyllum occidentale '' R.S.Rogers (1908) * '' Prasophyllum occultans '' R.J.Bates (1989) * '' Prasophyllum odoratissimum '' D.L.Jones (1996) * '' Prasophyllum odoratum '' R.S.Rogers (1909) * '' Prasophyllum olidum '' D.L.Jones (1998) * '' Prasophyllum ovale '' Lindl. (1840) * '' Prasophyllum pallens '' D.L.Jones (2000) * '' Prasophyllum pallidum '' Nicholls (1933) * '' Prasophyllum parviflorum '' (R.S.Rogers) Nicholls (1941) * '' Prasophyllum parvifolium '' Lindl. (1840) * '' Prasophyllum patens '' R.Br. (1810) * '' Prasophyllum paulinae '' D.L.Jones &amp; M.A.Clem. (1996) * '' Prasophyllum perangustum '' D.L.Jones (1998) * '' Prasophyllum petilum '' D.L.Jones &amp; R.J.Bates (1991) * '' Prasophyllum plumiforme '' Fitzg. (1882) * '' Prasophyllum praecox '' D.L. Jones (2006) * '' Prasophyllum pruinosum '' R.S.Rogers (1909) * '' Prasophyllum pulchellum '' D.L.Jones (1998) * '' Prasophyllum pyriforme '' E.Coleman (1932) * '' Prasophyllum readii '' D.L. Jones &amp; D.T. Rouse (2006) * '' Prasophyllum reflexum '' Fitzg. (1885) * '' Prasophyllum regium '' R.S.Rogers (1918) * '' Prasophyllum retroflexum '' D.L.Jones (2000) * '' Prasophyllum robustum '' (Nicholls) M.A. Clem. &amp; D.L. Jones (1989) * '' Prasophyllum rogersii '' Rupp (1928) * '' Prasophyllum rostratum '' Lindl. (1840) * '' Prasophyllum sargentii '' (Nicholls) A.S.George (1971) * '' Prasophyllum secutum '' D.L.Jones (1998) * '' Prasophyllum solstitium '' D.L.Jones (2000) * '' Prasophyllum sphacelatum '' D.L.Jones (1996) * '' Prasophyllum spicatum '' R.J.Bates &amp; D.L.Jones (1991) * '' Prasophyllum stellatum '' D.L.Jones (1998) * '' Prasophyllum striatum '' R.Br. (1810) * '' Prasophyllum suaveolens '' D.L.Jones &amp; R.J.Bates (1994) * '' Prasophyllum subbisectum '' Nicholls (1936) * '' Prasophyllum suttonii '' Ewart &amp; B.Rees (1912) * '' Prasophyllum sylvestre '' R.J.Bates &amp; D.L.Jones (1991) * '' Prasophyllum taphanyx '' D.L.Jones (2004) * '' Prasophyllum transversum '' Fitzg. (1891) * '' Prasophyllum triangulare '' Fitzg. (1882) * '' Prasophyllum trifidum '' Rupp (1941) * '' Prasophyllum truncatum '' Lindl. (1840) * '' Prasophyllum tunbridgense '' D.L.Jones (1998) * '' Prasophyllum unicum '' Rupp (1942) * '' Prasophyllum validum '' R.S.Rogers (1927) * '' Prasophyllum vitreum '' D.L. Jones &amp; D.T. Rouse (2006) * '' Prasophyllum wallum '' R.J.Bates &amp; D.L.Jones, (1991) * '' Prasophyllum wilkinsoniorum '' D.L.Jones, (2000) "	740	5	0	2	0	1	"bad"
"#перенаправление Прасофиллум "	2	0	0	0	0	0	"bad"
