"Article"	"Len"	"BadFreqs"	"Len2"	"Len3"	"Len4"	"Class" 
"'''Пичпандонь кунардонь калмама вастсь''' - 13 - 14 вв. мокшэрзянь кунардонь пингонь археологиянь памятниксь Пичпанда велеть ваксса. Археологсь А.А. Спицын 1892 к. шувондсь 39 калмама васта. Кулофнень пряста путфтольхть лямбе шири : аватне путфтольхть мянтьфста, види бокснон лангс; алятне видеста, копорьснон лангс. Муфт узерьхть, пеельхть, толонь крьвястемат, налбет, кядькст, сурхт, сюлгапт, ожнат. Кой-кона калмотнень эса муфт Золотой Ордань пингонь сиянь ярмакт, зрнянь пилькст, кудонь жуватань пакарьхть. Сембе муфсь корхтай сянь колга, што ня калмама васттне Золотой Ордань пингоннет. Лит: Отчет археологической комиссии за 1892 г. - СПб ., 1894 . Тяштись: В.Н.Шипов сявф: Мордовиясь. Энциклопедиясь кафта томса. 2-це томсь Н-П, Саранск - Мордкниизд., 2007 к. 100 лопась"	100	0	3	6	7	"good"
"'''Пехтим''' - Теньгушева райононь шокшень стирьхнень пряса каннемка. Сташендовсь аф сери вазьня лаца, перьфканза ёмла пайгонят. Конять видеса сташендсть ёмла ожнанят и сиянь лентат. Фталда сялдазть шири нюрьгсть эрь кодама тюсонь лентат. пилевакснень видеса сташендсть тюжя или сянгяря сюрень 2 топонят. Пехтимть каннекшнезе семьяса васенце стирьсь оцюкс арамозонза. Лит.: Гаген- Торн Н. И. Женская одежа народов Поволжья. - Чебоксары, 1960; Ежова В.П. О некоторых особенностях мордовского населения Теньгушевского района Мордовской АССР // Вопросы этнической истории мордовского народа. - Саранск, 1960 тяштезе: С.Д.Николаев сявф: Мордовиясь. Энциклопедиясь кафта томса. 2-це томсь Н-П, Саранск - Мордкниизд., 2007 к. 95 лопась"	93	0	1	5	10	"good"
"'''Овкс сувамась''' - рьвяямань кой, мзярда овсь сувай эряма стирть алянц шири. Лама овкс сувайда ульсь 19-це в. песта - 20-це векть ушетксста. Овкс сувайть сяда сидеста нолнезь ся куду, коса азорть ашель сонцень цёранза, аньцек стирьхтольхть. Овкс сувсесть тядяфтома-аляфтома касфне или ашу ломанень рьвяяй ёмла цёратне. Овкс сувсесть эстокиге свадьбань еткста или свадьбада меле. Свадьбань илать ётафнезе стирть аляц. Овкс сувайсь од семьяса батраконь лацоль. Сонь мельганза ашезь тяштев семьянь уликсши, тейнза и рьванцты сашендовсь сяда лама покодемс хозяйстваса. Улендсь стама овкс суваматка, мзярда рьвяяйть кудонь азорсь сявондезе эстейнза цёрань лаца, эста семьянь уликсшиса тейнза мезевок макссевсь. Овкс кой-коста сувсихть тянивок. Лит.: Евсевьев М. Е. Избр. тр. - Саранск, 1996. - Т.5
Тяштихне: Ю.Н. Мокшина, С. Д. Николаев. сявф: Мордовия Энциклопедиясь кафта томса. 1-це томсь А-М, Саранск - Мордкниизд., 2007 к. 48 лопась"	129	1	3	8	25	"good"
"'''Каляда''' - Роштува -нь илань-крдань мора. Калядатнень морсезь оцюфне и шабатне кенкшн лангса или вальмалга Роштува ть карша, калядань шиня и морамда меле получсесть казнет. Калядаса арьсихть азорхненди шумбраши, козяши и павазши, улеза цебярь урожайсна, шачендост цёранясна, раштаст жуватасна. Сембось тя тиендевсь шкайхненди-кинди эняльдемань кучсезь, кядень -пильгонь шерьфнезь, сельмонь - шамань якафтозь. Ушеткшневи ;каляда..каляда... ; валста; кучка видеса мялень - смузень усолсь пуропневи - виияфневи; аделсеви казнеть колга стамка валса - эняльксса и кода улеза сон. Морамбачк ни калядамась кувакагофневи или кирьфневи, валхне эсонза полафневихть. Калядаматне шисот аньцек ся эряма васттнень эса, коса ванфтовсть ару мокшет, эрзят. Идень фольклорса молихть илань ётафнемста или кода бакша морот. Васенцеда калядаматне сёрматфтольхть, кочкафтольхтьь и печатлафтольхть 19 в. песта . ( Хейкки Паасонен , М.Е. Евсевьев ). Лит.: Татаркина Э.П. Мордовский детский фольклор. - Саранск, 1971; Самородов К. Т. Мордовская обрядовая поэзия. - Саранск, 1980 Тяштезе: Г.А. Курышева сявф: Мордовиясь. Энциклопедиясь кафта томса. 2-це томсь Н-П, Саранск - Мордкниизд., 2007 к. 141 лопась"	147	0	5	11	8	"good"
"'''Инзама''' - модань ляпоптемань традиц. орудия. Сяда кунардонь инзаматнень тиендезь моргу шуфтста, тумонь или кузонь пряста; тяфтама инзаматне нолявсть тевс вирень модань ляпопнемста. Меле кармасть тиендема илиста кодаф ниле ужеса инзамат, пеенди нолнесть калгода шуфтт (19-це векть 1 пялестонза сявомок путнесть кшнинь пейхть). Тяфтама инзамаса ляпопнезь модать суронь видемс, модамарень путомс. Тефнень аделамда меле тяфтама инзаматнень лопафнезь ведьса. Ульсть шуфтонь инзамат, конат тиендевсть брусса. 19-це векть песта сявомок мокшень и эрзянь велетнень эса модать ляпопнезь кшнинь инзамаса.
Инзамат улихть мокшень и эрзянь велетнень эса тянивок. Лит.: Новицкая А.П., Федянович Т.П. Сельскохозяйственные орудия крестьян // Исследования по материальной культуре мордовского народа. - М., 1963. - Вып. 2 сявф: Мордовиясь. Энциклопедиясь кафта томса. 1-це томсь А-М, Саранск - Мордкниизд., 2007 к. 314 лопась"	117	2	1	8	7	"good"
"'''Златнойсь''' - рьвакс тумань шиста мокшавань пряс путомка. Башка веле эсь лацонне. Зубунь район - ца сонь тиендезь картонцта, куйгорста, вельхнезь руцяняса. Кельме ширдень и лямбе ширдень велетнень эса златнойхне аф фкатольхть. Атерень район - ца и Темникань районца златнойсь сташендовсь котфста. Мазопнезь зрнянь сюреса, пиндолдыняса. Златнойхнень каннекшнезь рьвакс тумада мелевок, ила шитнень пингста. Тяштезе: Г.А. Корнишина Сявф: Мордовиясь. Энциклопедиясь кафта томса. 1-це томсь А-М, Саранск - Мордкниизд., 2007 к. 298 лопась"	68	2	3	5	5	"good"
"'''Дзю до''' - яп. 柔道 дзю: ляпеши до:ки , японецень национальнай бороцяма. Мордовияса вииякшни 1978 кизоста сявомок И.А. Сырескин тренерть вятеманц ала. Сон марса Ф.Халиловонь мархта 20 в. 70-це кк. лац содафоль тя бороцямаса. 1980 к. Европань чемпионкс арась В.П. Раздолькин. 1998 - це кизоня спортонь мастеронь нормативть пяшкодезе А. Ганюшкин. 2000-це кизотнень Равкужень чемпионкс арась спортонь мастерсь А. Сабашвили Тяштезе: В.И. Брыков, М.С. Волкова. Сявф: Мордовиясь. Энциклопедиясь кафта томса. 1-це томсь А-М, Саранск - Мордкниизд., 2007 к. 250 лопась"	76	0	5	10	2	"good"
"'''Вирява''' - кстиндамда ингольдень пингонь мокшень и эрзянь шкайава (вирень ванфтысь, вирень азоравась). Ломаттне пельсть шобда вирьда, вирьса эрьгодемда, пельсть Вирявать эзда. Омба ширде, вирьсь ламода лездсь ломаттненди, андсь, макссесь панкт, имошт, пяштть, вирьса мокшетне и эрзятне кочксесть медь, вирьса охотендакшнесть, аноклакшнесть пенгат, ленгя, и лама лия. Валом - валом ломаттне лоткасть вирявать эзда пелемда, арьсесть, кода ванфтомс пря. Мархтонза васедемста эряви тумс фталу потазь. Тяштезе: Н.Ф. Мокшин Сявф: Мордовиясь. Энциклопедиясь кафта томса. 1-це томсь А-М, Саранск - Мордкниизд., 2007 к. 186 лопась"	80	1	0	4	9	"good"
"'''Ведява''' - ведень шкайавась. Мокшетнень и эрзятнень кстиндамда ингольдень фкя инь содаф шкайавась. Ломаттне пельсть ведьавать эзда. Арьсекшнесть, бта ведьавась аф аньцек ваяфни ломатть, нои кучси урмат, сяс сюконякшнесть тейнза, путнесть казнет, печксесть лемозонза жуватат. Лувондовсть, Ведьавась лезды шачфтыхненди. А кда кинь лангс кяжияй, тисы сянь аф шачфтыекс. Идьфтома аватне ётафнесть лемозонза ведьозкст, эняльдсть кучемс иднят. Тяка пингть ломаттне шарьхкотькшнезь, што ведьфтома аш эряф: ведсь эрви паксятненди, лугатненди, вирьхненди, ляйхненди, эрьхксненди, ведьфтома аш кода кунцемс калхт. Сяс устнай народнай твочестваса ведьавась аф аньцек пелькс шкайава, но и ломаттнень лездысна. Литературась * Мордовиясь. Энциклопедиясь кафта томса. 1-це томсь А-М, Саранск - Мордкниизд., 2007 к. 172 лопась. * Н.Ф.Мокшин"	105	1	6	9	9	"good"
"
'''Шяйтан''' — '''Шайтан''' — мифология са кальдяв образ, кона афолезе кельге Шкайть , и Шкабавазть, цебярьть тюри вярдень Шкайть мархта; аф цебярь виень тии."	23	0	2	1	2	"good"
" '''Някань музей''' ( ) — ащи Тарту ошса. Музейть ладямац XIX векть ушетксста музейть вастс ащесь Юрьевский уездонь (Лифляндская губерния)|Дорпатскяй уездонь школась, коса тонафнесть ремесленниконь шабатне. 1829 кизотнень музеень кудсь етась ломанень кядьс, мезьда меле ушедость петемань оцю тефт: кудть лангоц тифоль классицизма|классицизмань стильса , келептьфтольхть вальмятне, комнататне явфтольхть фкя-фкянь эзда перяфксса. XIX - XX|XX векть пингста музеень кудсь явфоль пяльксова, кудпирьфть эса путфтольхть сяда емла помещеният, конатне меле калафтфтольхть. XX -це столетиять пингста музейсь ульсь кудокс, тоса эрясть ломатть, тяка пингть азороц кудть полафнесь. 1994 кизотнень Тарту|Тарту ошень оцюнятне арьсесть тиемс тя кудть эзда някань музей. Сон панчфоль 1994|1994 кизоня май ковста. В 2002 - 2003 кизотнень музейса петемань тефне аделавсть марнек, музейсь одкстоптовсь, мрдафтовсь сонь ингольдень шамац. 2004 кизотнень эзда сявомок музейсь ащи Тарту ошть ташта пялькссонза, Лутсу куроса. Музейти сувсихть музей XVIII-XIX веконь ниле зданият. 2010|2010 -це кизоста сявомок музейти сувась т Театральный Дом|Театрань кудсь . Музейса уликс някатне Музейть эса ули кода няемс 6000 налхксемкада и налхкшта. Някатне няфтевихть эстониянь народнай стильса. тяфта жа няфтеви художественнай някань выставка, лия масторста казнет, а тяфта жа финно-угорские народы|финно-угрань народонь някат Шабатненди тев Музейть видеса панчф налхксеманди и маштомашинь кеподеманди васта, тяфта жа макссевихть эрь кодама тевонди экспозиция (выставка)|экспозициянь лия васттне. Ули кода няфтемс пря музеень иля прграмматнень эсовок. Музеть пирьфсонза Музейть пирьфсонза ули куд, коса няфтевихть киноса васьфневи някатне, някань фильматнень эса. Мастерскойхнень эса ули кода няемс эстониянь анимационнай фильма|анимационнай фильма т, ули кода ломаттненди эстейста тяряфтомс вий налхкомаса и тиемаса. Пирьфса ащи зданиять омбоце этажсонза ладяфт пингонь выставкатне. Ссылки Музей игрушек: фото, описание Музей игрушек "	253	3	6	23	21	"good"
"'''Кардазава''' — '''Калдазава''' - '''Кардазонь кирди''' — мифология са кардазонь Оцюнясь, ванысь, вятись. Прянц няфнесы авакс или алякс (но шуроста). Кардазавась эсь лацонь прянь вяти. Кда ашезь ту мялезонза кудонь жуватась (сяда сидеста тюсоц) - мучендасыне: веньберьф арни траксть, алашатнень, учатнень лангса. Кельгсы понамс алашань шяярьхнень пулокс."	45	0	3	3	3	"good"
"'''Каргонь ки''' — мокшетнень мифология са менельть тиезе Шкай сь, тяшттне, кев лаца, ульсть ала. Шкай сь кочказень синь, почердазень менельге тяфта, што лиссь Каргонь ки. Коряванза нармоттне ванцазь эсь киснон."	31	0	5	4	4	"good"
"'''Сараз озкс''' — велень сире ила, конань ётафнелезь сёксенда, тялонди сёронь видемада меле. Эсь лемонц сон сявозе сяс, мес тя илати печкольхть сараз (эрь кудса фкя). Печколезь синь озондома вастса: ляй трваса и пиделезь марстонь яндаваса. Верснон нолдалезь тиф лотконяти, пухснон и толгаснон плхталезь, пакарьснон ёрялезь ведти. Озондома иласта эняльдезь вярдень Шкайть сянкса, штоба максомс цебярь видема-путома, шачема, ломаттненди шумбраши, жуватань раштама. сявф: Евсевьев М.Е. Избр. тр. Т.5. Мордовская свадьба. Саранск.1966"	71	0	2	11	6	"good"
"'''Сёрава''' — мифология са сёронь ванысь, лездысь. Сёроньавась няфневоль жаворонка, нумол лаца. Сёроньавакс азондови мазыкс, цебярькс; лангсонза сиянь и зрнянь щам, прясонза серень шляпа. Сон маштоль морама, кштима, авардема, кода ломань. Сёравать улихть шабанза."	34	0	1	2	2	"good"
"'''Кардазава''' — '''Пятнагодава''' - '''Каштомава''' - '''Уштомань кирди''' — мифология са кудонь пянакудть ваныец, лездыец. Пянакудавась аф няфнесы эсь прянц, эряма вастонц аф содасазь: коса-бди пянакудса."	24	0	3	1	0	"good"
"'''Паксява ''' - '''Пакся сярко '''( Эрзянь кяль|эрзянь ''Пакся патяй'', паксять ваныец, лездыец. Ушеширень кучфтемат "	13	0	0	0	0	"good"
"'''Нешкеава '''( Эрзянь кяль|эрзянь ''Нешкеава'') - нешкепереть, мешнень ванысна, лездысна. Мокшетне и эрзятне арьсесть, што эрь нешкепереть ули сонцень Нешкеавац, кона эряй инь оцю нешке кудняса. Ушеширень кучфтемат "	26	1	0	5	2	"good"
"'''Лугава''' - мифология са лугать оцюняц, ваныец. Лугавать ули мирдец Лугатясь. Лугавати тиендсть озондома ила, печкондсть жувата, мзярда тунда васенцеда жувататнень панелезь стадав. Ушеширень кучфтемат "	24	0	1	2	0	"good"
" Финно-угратне корхтасть Википедиять колга Обиница са 1-4 сёроньковста Эстониянь лямбе ширдень аймаксонза Meremäe са Эстониянь Викимедиясь аноклась семинар, коса корхтасть Финно-угрань кяльса Википедиять тяштеманць коряс. Семинарти сашендсь ломаттне Эстонияста, Суоми масторста, Россияста: тяконь ёткса удмурт , карел , вепс , эрзя , мокша , мари , коми кяльса википедиянь тяштихне. Семинарть эса корхтамась мольфтевсь финно-угрань википедиятнень марcтонь покодемаснон колга. Марстонь покодемась ладяй соткст финно-угратнень ёткса, тевонь вятемаса, фкя-фкянди эсь маштомашинь няфтемаса – тя сембось лезды сядонга цебярьста покодемати и википедиянь тяштемаса тяка или иля эльбятьксонь аф тиендемати. Ломаттне эсь аймаксост содафтыхть ломаттнень википедиять колга, тонафтыхть иля ломаттнень тяштемс википедияти. Кода и ингольдень васедемать эса, станя тядденнеть эса корхтасть сяннь колга - кода википедиясь лезды ванфтомс финно-угрань кяльхнень. Тя туфталсь арай мялень кеподикс сятненди, кие ёрай тонадомс тяштема википедия шачема кяльсонза. Семинарсь ётафтовсь эсь лацонь мастерскойса, коса няфтевсь и азондовсь кода тяшнема статьят википедияти, путнемс фотоархтфкст, няфтевсть программат, конатне теждялгофтсазь тя тевть. Марса ванфоль программась (ванк: translate.keeleleek.ee), кона лезды курокста ётафтомс статьят фкя кяльста омбоцети и эстокиге путомс сонь википедияти. Финно-угрань кяльхнень ули википедиясна эсь кяльсост: эстононь кяльса, суоминь кяльса, венгрань кяльса, саамонь кяльса, вепсонь кяльса, пандонь – и пакся – маринь кяльса, коми – зырянонь и коми –пермень кяльса, удмуртонь кяльса, мокшень и эрзянь кяльхнень эса. Эстониянь википедиясь ащи колмоцекс статьянзон лувксснон мархта . Васедемась ётафтовсь суоми – угрань культурань коряс программать видеса. Лездыекс арасть родственнай народонь программась и Викимедия фондсь."	223	2	6	15	17	"good"
"'''Варда''' - мифология са пялес мифическяй образ, ёжу, кяжи, сельмонь каяй стирня сязентьф - нозонтф щамса. Вардань копорьсонза тяштькс, кона няфнесы сонь сотксонц тона шинь вийхнень мархта. "	25	0	1	1	6	"good"
"'''Велява''' - мифология са велеть оцюняц, кирдиец, ваныец. Кой-коста, мифологиянь материалхнень коряс, Велявать шамац и сембе вастоц пяк шары Юрхтава ть лангс. "	21	0	2	1	1	"good"
"'''Вермава''' - мифология са вермань, шумбрашинь, курок максомань, эрямань виень, шачемань лездысь - ванысь. Лугать оцюняц, ваныец. "	15	0	1	0	0	"good"
"'''Калдаз озкс''' - мифология са озкс ила, конань тиелезь калдазть лемс и ётафтоволь эрь кудонь юрса снярда, мзярда сёксенда мрдаль меки куду кизонь жуватань стадась. "	24	0	1	2	6	"good"
"'''Фольклорсь''' - Мокшэрзянь фольклоронь сембода кунардонь произведениятнень эса азондови, кода ся пингонь ломаттне шарьхкоткшнезь мирть-масторть тиеманц, корхтави марстонь и семьянь эряфть-ащефть колга, эсь плямань потмонь и лия пляматнень мархта ладямать колга."	30	0	1	3	1	"good"
"'''Тарту''' - инголе содавсь кода Тарбату, немецонь кяльса Dorpat. Ярослав Мудрайсь макссь лем Юрьев. Тартусь ащи Эстониянь пряошенц Таллинн ть эзда 185 вайгельбеса, Эмайыги лять кафицьке трвасонза."	26	0	1	2	3	"good"
"'''Бригери''' ( ) — Орхидея тъналста панчф касыкссь. "	7	4	0	0	0	"bad"
"#REDIRECT Бромхэдие "	2	0	0	0	0	"bad"
" '''Бромхэдие''' ( ) — Орхидея тъналста панчф касыкссь. 10-30 калопне (вид). Васьфневихть Азиеса ди Океаниеса. Видне # '' Bromheadia alticola '' # '' Bromheadia annamensis '' # '' Bromheadia aporoides '' # '' Bromheadia borneensis '' # '' Bromheadia brevifolia '' # '' Bromheadia cecieliae '' # '' Bromheadia coomansii '' # '' Bromheadia crassiflora '' # '' Bromheadia devogelii '' # '' Bromheadia divaricata '' # '' Bromheadia ensifolia '' # '' Bromheadia falcifolia '' # '' Bromheadia finlaysoniana '' # '' Bromheadia gracilis '' # '' Bromheadia graminea '' # '' Bromheadia grandiflora '' # '' Bromheadia humilis '' # '' Bromheadia latifolia '' # '' Bromheadia lohaniensis '' # '' Bromheadia longifolia '' # '' Bromheadia pendek '' # '' Bromheadia pulchra '' # '' Bromheadia pungens '' # '' Bromheadia robusta '' # '' Bromheadia rupestris '' # '' Bromheadia scirpoidea '' # '' Bromheadia srilankensis '' # '' Bromheadia tenuis '' # '' Bromheadia truncata '' "	102	6	1	1	0	"bad"
"#REDIRECT Бругтоние "	2	0	0	0	0	"bad"
" '''Бругтоние''' ( ) — Орхидея тъналста панчф касыкссь. 6 калопне (вид). Васьфневихть Америкса. Видне # '' Broughtonia cubensis '' Куба # '' Broughtonia domingensis '' Гаити, Мона, Пуэрто-Рико
# '' Broughtonia lindenii '' Куба ди Багама
# '' Broughtonia negrilensis '' Ямайка
# '' Broughtonia ortgesiana '' Куба # '' Broughtonia sanguinea '' Ямайка "	41	6	1	1	4	"bad"
"#REDIRECT Браунлее "	2	0	0	0	0	"bad"
" '''Браунлее''' ( ) — Орхидея тъналста панчф касыкссь. 7 калопне (вид). Васьфневихть Африкса ди Мадагаскарса. Видне # '' Brownleea caerulea '' Harv. ex. Lindl. # '' Brownleea galpini '' Bolus ## ''Brownleea galpinii'' subsp. ''galpinii''
## ''Brownleea galpinii'' subsp. ''major'' (Bolus) H.P.Linder # '' Brownleea macroceras '' (Sond.) Rchb.f. # '' Brownleea maculata '' P.J.Cribb # '' Brownleea mulanjiensis '' H.P.Linder # '' Brownleea parviflora '' Harv. ex Lindl. # '' Brownleea recurvata '' Sond. "	60	6	1	1	0	"bad"
"#REDIRECT Бухтиение "	2	0	0	0	0	"bad"
"'''Бухтиение''' ( ) — Орхидея тъналста панчф касыкссь. 3 калопне (вид). Васьфневихть Лямбеширень Америкса. Видне # '' Buchtienia boliviensis '' Schltr. # '' Buchtienia ecuadorensis '' Garay # '' Buchtienia rosea '' Garay "	26	7	0	1	0	"bad"
" '''Бульбофиллум''' ( ) — Орхидея тъналста панчф касыкссь. 1803 калопне (вид). Васьфневихть Азиеса, Америкса, Африкса ди Мадагаскарса. Синонимне * ''Anisopetalum'' Hkr. 1825.
* ''Bolbophyllaria'' Rchb.f 1852.
* ''Bolbophyllum'' Spreng. 1826.
* ''Cochlia'' Bl. 1825.
* ''Didactyle'' Lindley 1852.
* ''Diphyes'' Bl. 1825.
* ''Ephippium'' Blume 1825.
* ''Epicranthes'' Bl. 1825.
* ''Epicrianthes'' Bl. 1828.
* ''Gersinia'' Neraud. 1826.
* ''Henosis'' Hkr.f 1890.
* ''Katherinea'' A. D. Hawkes 1956.
* ''Lyraea'' Lindl. 1830.
* ''Macrolepis'' A. Rich. 1834.
* ''Malachadenia'' Lindley 1839.
* ''Megaclinium'' Lindley 1826.
* ''Odontostyles'' Breda 1827.
* ''Osyricera'' Bl. 1825.
* ''Oxysepala'' Wight 1851.
* ''Phyllorchis'' Thou. 1822.
* ''Sarcopodium'' Lindley &amp; Paxton 1850.
* ''Sestochilos'' Breda 1828.
* ''Sunipia'' Lindley 1826.
* ''Taurostalix'' Rchb.f. 1852.
* ''Tribrachia'' Lindley 1824.
* ''Xiphizusa'' Rchb.f 1852.
* ''Zygoglossum'' Reinw. 1826 1828 . "	131	6	1	1	0	"bad"
"#REDIRECT Буллейие "	2	0	0	0	0	"bad"
"'''Буллейие''' ( ) — Орхидея тъналста панчф касыкссь. 1 калопне (вид). Васьфневихть Китай са. "	13	6	1	1	0	"bad"
"#REDIRECT Бурнеттие "	2	0	0	0	0	"bad"
"'''Бурнеттие''' ( ) — Орхидея тъналста панчф касыкссь. 1 калопне (вид). Васьфневихть Австралиеса ди Тасманиеса. "	14	6	1	1	0	"bad"
"#REDIRECT Бёрнсбалогие "	2	0	0	0	0	"bad"
"'''Бёрнсбалогие''' ( ) — Орхидея тъналста панчф касыкссь. "	7	4	0	0	0	"bad"
"#REDIRECT Кадетие "	2	0	0	0	0	"bad"
" '''Кадетие''' ( ) — Орхидея тъналста панчф касыкссь. 55 калопне (вид). Васьфневихть Азиеса ди Океаниеса. Видне # '' Cadetia albiflora '' (Ridl.) Schltr. (1912) # '' Cadetia angustifolia '' Blume (1849) # '' Cadetia apiculifera '' (J.J.Sm.) Schltr. (1922) # '' Cadetia aprina '' (J.J.Sm.) Schltr. (1912) # '' Cadetia aprinoides '' (J.J.Sm.) A.D.Hawkes (1961) # '' Cadetia arfakensis '' (J.J.Sm.) Schltr. (1922) # '' Cadetia bicornuta '' Schltr. (1919) # '' Cadetia biloba '' Blume (1849) # '' Cadetia ceratostyloides '' (J.J.Sm.) Schltr. (1912) # '' Cadetia chamaephytum '' (Schltr.) Schltr. (1912) # '' Cadetia chionantha '' (Schltr.) Schltr. (1912) # '' Cadetia citrina '' (Ridl.) Schuit. (1994) # '' Cadetia clausa '' D.L.Jones &amp; M.A.Clem. (2006) # '' Cadetia collina '' Schltr. (1912) # '' Cadetia collinsii '' Lavarack (1981) # '' Cadetia crassula '' Schltr. (1912) # '' Cadetia cuneilabia '' Schltr. (1922)
# '' Cadetia cyclopensis '' (J.J.Sm.) Schltr. (1922) # '' Cadetia doormanii '' (J.J.Sm.) Schuit. (1994) # '' Cadetia echinocarpa '' Schltr. (1912) # '' Cadetia finisterrae '' Schltr. (1912) # '' Cadetia funiformis '' (Blume) Schltr. (1912) # '' Cadetia goliathensis '' (J.J.Sm.) Schltr. (1912) # '' Cadetia heteroidea '' (Blume) Schltr. (1912) # '' Cadetia hispida '' (A.Rich.) Schltr. (1912) # '' Cadetia homochroma '' (J.J.Sm.) Schltr. (1922) # '' Cadetia imitans '' Schltr. (1912) # '' Cadetia karoensis '' (Schltr.) Schltr. (1912) # '' Cadetia lagorum '' (P.Royen) Schuit. (1994) # '' Cadetia latoureoides '' Schltr. (1922) # '' Cadetia ledifolia '' (J.J.Sm.) W.Kittr. (1984 publ. 1985) # '' Cadetia legareiensis '' (J.J.Sm.) Schltr. (1922) # '' Cadetia lucida '' Schltr. (1912) # '' Cadetia macroloba '' (J.J.Sm.) Schltr. (1912) # '' Cadetia maideniana '' (Schltr.) Schltr. (1912) # '' Cadetia maliliensis '' (J.J.Sm.) Schuit. (1998) # '' Cadetia micronephelium '' (J.J.Sm.) Schltr. (1922) # '' Cadetia microphyton '' (L.O.Williams) Christenson (1992) # '' Cadetia opacifolia '' (J.J.Sm.) Schltr. (1922) # '' Cadetia ordinata '' (J.J.Sm.) Schltr. (1922) # '' Cadetia parvula '' Schltr. (1912) # '' Cadetia platyloba '' Schltr. (1922) # '' Cadetia potamophila '' Schltr. (1912) # '' Cadetia pseudoaprina '' (J.J.Sm.) Schuit. (1994) # '' Cadetia quadrangularis '' P.J.Cribb &amp; B.A.Lewis (1989) # '' Cadetia quadriquetra '' Schltr. (1922) # '' Cadetia quinqueloba '' Schltr. (1912) # '' Cadetia recurvata '' Blume (1849) # '' Cadetia remotisepala '' (J.J.Sm.) Schuit. (1994) # '' Cadetia sayeri '' (Schltr.) Schltr. (1912) # '' Cadetia sepikana '' Schltr. (1922) # '' Cadetia siewhongii '' P.O'Byrne (1996) # '' Cadetia similis '' Blume (1849) # '' Cadetia stenocentrum '' (Schltr.) Schltr. (1912) # '' Cadetia subfalcata '' (J.J.Sm.) Schltr. (1922) # '' Cadetia subradiata '' (J.J.Sm.) Schltr. (1922) # '' Cadetia takadui '' Schltr. (1912) # '' Cadetia taylorii '' (F.Muell.) Schltr. (1912) # '' Cadetia transversiloba '' (J.J.Sm.) Schltr. (1912) # '' Cadetia triquetra '' (Ridl.) Schltr. (1912) # '' Cadetia umbellata '' Gaudich. (1829) "	362	6	1	1	0	"bad"
"#REDIRECT Зигостатес "	2	0	0	0	0	"bad"
" '''Зигостатес''' ( ) — Орхидея тъналста панчф касыкссь. 29 калопне (вид). Васьфневихть Америкса. Видне # '' Zygostates alleniana ''
# '' Zygostates apiculata ''
# '' Zygostates aquinoi ''
# '' Zygostates bradei ''
# '' Zygostates chateaubriandii ''
# '' Zygostates comuta ''
# '' Zygostates cornigera ''
# '' Zygostates costaricensis ''
# '' Zygostates dasyrhiza ''
# '' Zygostates duseniana ''
# '' Zygostates dusenianus ''
# '' Zygostates grandiflora ''
# '' Zygostates grandiflorus ''
# '' Zygostates greeniana ''
# '' Zygostates kuhlmanni '' # '' Zygostates leptosepala ''
# '' Zygostates ligulata ''
# '' Zygostates lindmanii ''
# '' Zygostates linearisepala ''
# '' Zygostates lunata ''
# '' Zygostates multiflora ''
# '' Zygostates obliqua ''
# '' Zygostates octavioreisii ''
# '' Zygostates ovatipetala ''
# '' Zygostates papillosa ''
# '' Zygostates paranaensis ''
# '' Zygostates pellucida ''
# '' Zygostates pustulata ''
# '' Zygostates rotundiglossa '' "	100	6	0	1	0	"bad"
"#REDIRECT Брейвик, Андерс Беринг "	4	0	0	0	0	"bad"
